"","Year","Country","reservegrowth","IRgrowth","ERgrowth"
"1612","1981","Singapore",0.0119076951666667,NA,0.00208473641666667
"1613","1982","Singapore",0.00993320658333333,NA,-0.00549684216666667
"1614","1983","Singapore",0.00745556058333333,NA,0.00262014175
"1615","1984","Singapore",0.00987056691666667,NA,-0.00162889033333333
"1616","1985","Singapore",0.0178953166666667,NA,0.00179417716666667
"1617","1986","Singapore",0.000659138833333333,NA,-0.00210581675
"1618","1987","Singapore",0.0137192464166667,1.0019871862,0.00632360358333333
"1619","1988","Singapore",0.00969268558333333,0.101901580166667,0.00336158475
"1620","1989","Singapore",0.0148792615833333,0.000489397166666668,0.000126113666666667
"1621","1990","Singapore",0.0264862685833333,-0.0961532508333333,0.0104906034166667
"1622","1991","Singapore",0.01757418425,0.742436290083333,0.00310087775
"1623","1992","Singapore",0.013165163,0.368789797666667,0.00128520508333333
"1624","1993","Singapore",0.0162415265,0.44154699775,0.00197006225
"1625","1994","Singapore",0.0156203129166667,0.0466912165,0.00736943041666667
"1626","1995","Singapore",0.0140610098333333,0.27133574775,0.002962081
"1627","1996","Singapore",0.00938775333333333,0.0833640326666667,0.000774181083333333
"1628","1997","Singapore",-0.00604495491666667,0.133734978083333,-0.0110350733333333
"1629","1998","Singapore",0.00501900575,0.433279378333333,-0.00152988891666667
"1630","1999","Singapore",0.00235469041666667,0.1701388905,-0.00175601816666667
"1631","2000","Singapore",0.00320251025,0.18800405825,-0.00326060475
"1632","2001","Singapore",-0.00469632241666667,0.0721502946666667,-0.00397571741666667
"1633","2002","Singapore",0.00703145808333333,0.0239154093333333,0.003161281
"1634","2003","Singapore",0.0133150104166667,0.0117795645833333,0.00239711508333333
"1635","2004","Singapore",0.0133672138333333,0.132435833166667,0.00459633316666667
"1636","2005","Singapore",0.0026989295,0.07219131875,-0.00290147425
"1637","2006","Singapore",0.0135170765,0.00517905541666667,0.00794925416666667
"1638","2007","Singapore",0.0151247615833333,-0.0862178460833333,0.00512976116666667
"1639","2008","Singapore",0.00590270083333333,0.0476209825,-0.00444811125
"1640","2009","Singapore",0.0064919995,0.0187554361666667,0.00904950158333333
"1641","2010","Singapore",0.01574132725,-0.0274035363333333,0.00440433791666667
"1642","2011","Singapore",0.00473829675,-0.00779505416666667,0.0023104975
"1643","2012","Singapore",0.00741278158333333,0.00122692366666667,0.00441723925
"1644","2013","Singapore",0.00436480466666667,0.0131822550833333,-0.00241773191666667
"1645","2014","Singapore",-0.00503823058333333,NA,-0.0032053445
"1646","1980","Slovak Republic",NA,NA,NA
"1647","1981","Slovak Republic",NA,NA,NA
"1648","1982","Slovak Republic",NA,NA,NA
"1649","1983","Slovak Republic",NA,NA,NA
"1650","1984","Slovak Republic",NA,NA,NA
"1651","1985","Slovak Republic",NA,NA,NA
"1652","1986","Slovak Republic",NA,NA,NA
"1653","1987","Slovak Republic",NA,NA,NA
"1654","1988","Slovak Republic",NA,NA,NA
"1655","1989","Slovak Republic",NA,NA,NA
"1656","1990","Slovak Republic",NA,NA,NA
"1657","1991","Slovak Republic",NA,NA,NA
"1658","1992","Slovak Republic",NA,NA,NA
"1659","1993","Slovak Republic",0.0979137698181818,NA,0.0073111965
"1660","1994","Slovak Republic",0.1633194295,NA,0.00308032008333333
"1661","1995","Slovak Republic",0.058698093,NA,0.00273081816666667
"1662","1996","Slovak Republic",0.00159859316666667,NA,-0.00122782375
"1663","1997","Slovak Republic",-0.00362024741666667,NA,-0.00367975433333333
"1664","1998","Slovak Republic",-0.00781970516666667,NA,0.00840359175
"1665","1999","Slovak Republic",0.0187081874166667,NA,0.027835943
"1666","2000","Slovak Republic",0.0159164973333333,NA,NA
"1667","2001","Slovak Republic",0.00294128225,0,NA
"1668","2002","Slovak Republic",0.07464598275,-0.0127739086666667,NA
"1669","2003","Slovak Republic",0.0248279713333333,-0.00653846158333333,NA
"1670","2004","Slovak Republic",0.01930752275,-0.03211279525,NA
"1671","2005","Slovak Republic",0.004439371,-0.0208333333333333,NA
"1672","2006","Slovak Republic",-0.0112779209166667,0.0408399480833333,NA
"1673","2007","Slovak Republic",0.0313237165,-0.00901559458333333,NA
"1674","2008","Slovak Republic",-1.92154999999997e-05,-0.0228163999090909,NA
"1675","2009","Slovak Republic",0.07391167375,NA,NA
"1676","2010","Slovak Republic",0.00300898708333333,NA,NA
"1677","2011","Slovak Republic",0.0139300370833333,NA,NA
"1678","2012","Slovak Republic",-0.0031667975,NA,NA
"1679","2013","Slovak Republic",0.01738329925,NA,NA
"1680","2014","Slovak Republic",0.0531197879166667,NA,NA
"1681","1980","Slovenia",NA,NA,NA
"1682","1981","Slovenia",NA,NA,NA
"1683","1982","Slovenia",NA,NA,NA
"1684","1983","Slovenia",NA,NA,NA
"1685","1984","Slovenia",NA,NA,NA
"1686","1985","Slovenia",NA,NA,NA
"1687","1986","Slovenia",NA,NA,NA
"1688","1987","Slovenia",NA,NA,NA
"1689","1988","Slovenia",NA,NA,NA
"1690","1989","Slovenia",NA,NA,NA
"1691","1990","Slovenia",NA,NA,NA
"1692","1991","Slovenia",NA,NA,0.071023768
"1693","1992","Slovenia",0.17405273075,NA,0.0411610968333333
"1694","1993","Slovenia",0.00915620633333333,NA,0.0172281558333333
"1695","1994","Slovenia",0.0566335355833333,NA,0.0053896445
"1696","1995","Slovenia",0.0172562438333333,NA,0.00423939308333333
"1697","1996","Slovenia",0.0236749906666667,NA,0.00631585233333333
"1698","1997","Slovenia",0.0315937591666667,NA,0.00456654458333333
"1699","1998","Slovenia",0.01014266425,NA,0.000726081333333333
"1700","1999","Slovenia",-0.0107268801666667,NA,0.00439796125
"1701","2000","Slovenia",0.00153565341666667,NA,0.00602509116666667
"1702","2001","Slovenia",0.0272298820833333,-0.030303031,0.002491994
"1703","2002","Slovenia",0.0413794489166667,-0.00537634391666667,0.00392869341666667
"1704","2003","Slovenia",0.0168752345,-0.02919733625,0.002378064
"1705","2004","Slovenia",0.00319287408333333,-0.0334612065833333,0.00109611825
"1706","2005","Slovenia",-0.00656744758333333,0.0123626379166667,-0.000100819833333333
"1707","2006","Slovenia",-0.0107337205833333,0.00131257625,5.21849166666667e-05
"1708","2007","Slovenia",-0.0603601449166667,0.00595238125,NA
"1709","2008","Slovenia",-0.00557544633333333,-0.03493746925,NA
"1710","2009","Slovenia",0.0140099789166667,-0.0680555565,NA
"1711","2010","Slovenia",-0.00262408633333333,0,NA
"1712","2011","Slovenia",-0.00838150891666667,0.006944444,NA
"1713","2012","Slovenia",-0.00362554775,-0.0208333333333333,NA
"1714","2013","Slovenia",0.004004777,-0.06944444525,NA
"1715","2014","Slovenia",0.0115814945,-0.0888888885833333,NA
"1716","1980","South Africa",0.0203982942727273,0.0314309933636364,NA
"1717","1981","South Africa",-0.000474736833333332,0.07005422925,NA
"1718","1982","South Africa",0.055579034,-0.000496367833333334,NA
"1719","1983","South Africa",0.0780827554166667,0.023826388,NA
"1720","1984","South Africa",-0.0421464531666667,0.014196751,NA
"1721","1985","South Africa",0.0324469255,-0.0372428581666667,NA
"1722","1986","South Africa",0.046332901,-0.0252775010833333,NA
"1723","1987","South Africa",0.0620780211666667,0,NA
"1724","1988","South Africa",0.00790110658333333,0.0372881479166667,NA
"1725","1989","South Africa",0.01643384825,0.0187309840833333,NA
"1726","1990","South Africa",0.0134686663333333,0,NA
"1727","1991","South Africa",0.00495876616666667,-0.00462962966666667,NA
"1728","1992","South Africa",0.0191772168333333,-0.01566585,NA
"1729","1993","South Africa",0.0108723668333333,-0.0123626379166667,0.00952142490909091
"1730","1994","South Africa",0.0517874524166667,0.00694444466666667,0.00632164491666667
"1731","1995","South Africa",0.05405494325,0.0123626379166667,0.0109928434166667
"1732","1996","South Africa",-0.0660179915,0.0107638891666667,-0.01907522675
"1733","1997","South Africa",0.146786197,-0.00490196083333333,-0.00377605666666667
"1734","1998","South Africa",-0.00547444025,0.0183989641666667,-0.01140242825
"1735","1999","South Africa",0.0315613141666667,-0.0385015994166667,-0.00655373225
